"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"72505394728","2023-01-01","  43.7","010000"," 15.0","  55.0","  50.0","  8.9"," 0.28","1011.6","999.9","005.8","  52.4","  8.1","  4.8"
"72505394728","2023-01-02","  38.0","000000","999.9","  55.9","  48.9","  6.0"," 0.00","1018.6","999.9","013.6","  52.0"," 10.0","  3.1"
"72505394728","2023-01-03","  47.7","110000","999.9","  57.0","  46.4","  7.0"," 0.04","1017.3","999.9","011.2","  51.6","  5.8","  2.5"
"72505394728","2023-01-04","  52.8","010000","999.9","  66.0","  46.9","  8.9"," 0.40","1010.1","999.9","005.1","  59.1","  8.3","  3.2"
"72505394728","2023-01-05","  46.4","010000","999.9","  66.0","  46.9","  8.9"," 0.03","1012.8","999.9","007.6","  49.0","  6.5","  4.3"
"72505394728","2023-01-06","  40.4","010000"," 14.0","  50.0","  42.1","  8.0"," 0.26","1014.8","999.9","009.9","  45.1","  6.9","  4.3"
"72505394728","2023-01-07","  28.5","000000","999.9","  48.9","  37.0","  8.9"," 0.01","1019.9","999.9","015.0","  40.7"," 10.0","  6.2"
"72505394728","2023-01-08","  21.9","000000","999.9","  45.0","  33.1","  8.0"," 0.00","1024.7","999.9","019.7","  37.7"," 10.0","  4.2"
"72505394728","2023-01-09","  27.7","010000"," 15.0","  44.1","  33.1","  8.9"," 0.01","1015.6","999.9","010.6","  39.6","  9.4","  4.5"
"72505394728","2023-01-10","  24.6","000000","999.9","  44.1","  37.0","  7.0"," 0.00","1015.6","999.9","010.6","  39.6","  9.9","  4.0"
"72505394728","2023-01-11","  22.4","000000"," 15.9","  41.0","  35.1","  8.9"," 0.00","1022.2","999.9","017.3","  37.8"," 10.0","  5.4"
"72505394728","2023-01-12","  35.4","010000"," 15.0","  54.0","  35.1","  8.9"," 0.01","1020.7","999.9","015.3","  42.1","  9.4","  4.2"
"72505394728","2023-01-13","  46.8","010000"," 20.0","  57.0","  37.0"," 11.1"," 0.38","1002.3","999.9","997.9","  52.0","  8.2","  6.0"
"72505394728","2023-01-14","  24.2","001000"," 22.0","  39.9","  32.0"," 12.0"," 0.09","1008.5","999.9","003.1","  35.6","  9.3","  7.7"
"72505394728","2023-01-15","  18.4","000000"," 26.0","  41.0","  30.0"," 14.0"," 0.00","1014.7","999.9","009.7","  33.9"," 10.0","  8.4"
"72505394728","2023-01-16","  10.3","000000"," 21.0","  48.0","  28.0"," 13.0"," 0.00","1013.1","999.9","008.0","  35.5"," 10.0","  7.3"
"72505394728","2023-01-17","  12.6","010000","999.9","  48.0","  28.0","  7.0"," 0.00","1006.8","999.9","001.8","  41.0"," 10.0","  3.4"
"72505394728","2023-01-18","  32.2","010000"," 22.0","  53.1","  35.1"," 13.0"," 0.05","1006.7","999.9","001.9","  47.5","  9.8","  6.1"
"72505394728","2023-01-19","  34.6","010000"," 15.9","  53.1","  39.9","  8.9"," 0.54","1015.0","999.9","009.3","  42.7","  7.5","  4.3"
"72505394728","2023-01-20","  36.1","010000"," 22.9","  48.9","  39.9"," 13.0"," 0.33","1003.9","999.9","998.8","  43.4","  8.5","  5.5"
"72505394728","2023-01-21","  25.8","000000"," 19.0","  48.9","  37.9"," 12.0"," 0.00","1017.3","999.9","012.4","  40.0"," 10.0","  5.3"
"72505394728","2023-01-22","  25.1","010000","999.9","  42.1","  36.0","  8.0"," 0.00","1021.2","999.9","015.7","  38.4","  9.6","  3.3"
"72505394728","2023-01-23","  34.8","010000"," 24.1","  42.1","  36.0"," 14.0"," 0.75","1003.8","999.9","999.0","  37.8","  5.3","  6.2"
"72505394728","2023-01-24","  23.5","000000"," 24.1","  46.0","  35.1"," 13.0"," 0.17","1018.2","999.9","012.5","  38.9"," 10.0","  6.4"
"72505394728","2023-01-25","  25.9","011000"," 17.1","  46.0","  35.1","  8.9"," 0.00","1024.0","999.9","017.9","  38.4","  8.7","  4.4"
"72505394728","2023-01-26","  37.9","110000"," 25.1","  57.0","  35.1"," 15.0"," 1.34","1002.3","999.9","996.7","  47.7","  7.9","  8.2"
"72505394728","2023-01-27","  24.0","000000"," 22.0","  57.0","  35.1"," 11.1"," 0.44","1016.3","999.9","011.4","  39.2"," 10.0","  5.4"
"72505394728","2023-01-28","  21.7","000000"," 28.0","  52.0","  35.1"," 11.1"," 0.00","1022.7","999.9","017.8","  42.7"," 10.0","  6.1"
"72505394728","2023-01-29","  29.2","000000"," 17.1","  53.1","  36.0","  8.9"," 0.00","1023.7","999.9","019.3","  48.8"," 10.0","  4.3"
"72505394728","2023-01-30","  34.8","000000","999.9","  55.0","  42.1","  8.9"," 0.00","1020.4","999.9","015.7","  48.1"," 10.0","  2.7"
"72505394728","2023-01-31","  28.8","011000","999.9","  55.0","  34.0","  8.9"," 0.03","1020.6","999.9","015.5","  40.8","  9.3","  3.3"
"72505394728","2023-02-01","  15.0","001000","999.9","  50.0","  26.1","  8.0"," 0.05","1023.6","999.9","018.6","  32.1","  9.2","  5.5"
"72505394728","2023-02-02","   9.1","000000"," 14.0","  39.9","  26.1","  8.0"," 0.02","1021.8","999.9","016.7","  33.3"," 10.0","  3.3"
"72505394728","2023-02-03","   4.9","000000"," 33.0","  39.9","  15.1"," 17.1"," 0.00","1013.8","999.9","008.8","  27.3"," 10.0","  9.4"
"72505394728","2023-02-04"," -10.8","000000"," 27.0","  35.1","   3.0"," 15.0"," 0.00","1032.6","999.9","027.4","  12.2"," 10.0","  8.6"
"72505394728","2023-02-05","  15.8","000000"," 21.0","  48.9","  25.0","  9.9"," 0.00","1024.1","999.9","019.1","  35.1"," 10.0","  4.2"
"72505394728","2023-02-06","  27.0","000000"," 22.0","  52.0","  27.0"," 13.0"," 0.00","1015.5","999.9","010.6","  45.3"," 10.0","  4.1"
"72505394728","2023-02-07","  21.5","000000","999.9","  52.0","  30.0","  7.0"," 0.00","1025.2","999.9","020.2","  35.9"," 10.0","  4.0"
"72505394728","2023-02-08","  29.1","010000"," 24.1","  53.1","  30.0","  9.9"," 0.02","1021.3","999.9","016.3","  44.8","  8.9","  5.3"
"72505394728","2023-02-09","  30.9","000000"," 18.1","  53.1","  39.0","  9.9"," 0.00","1023.1","999.9","018.1","  47.5","  9.7","  3.0"
"72505394728","2023-02-10","  39.5","000000"," 25.1","  61.0","  42.1"," 17.1"," 0.00","1010.7","999.9","005.9","  56.0"," 10.0","  6.8"
"72505394728","2023-02-11","  20.4","000000"," 22.9","  61.0","  36.0"," 11.1"," 0.00","1021.8","999.9","016.8","  42.4"," 10.0","  6.1"
"72505394728","2023-02-12","  20.0","000000","999.9","  48.0","  36.0","  8.9"," 0.00","1020.3","999.9","015.3","  42.4"," 10.0","  2.6"
